source,target
7796,11665
7796,2171
7796,851784
7796,10297
7796,15864
7796,176557
7796,19453
7796,4600
7796,7166
7796,1141310
7796,1229
7796,81316
7796,10767
7796,1366083
7796,11477
7796,380
7796,4517
851784,204
851784,20508
851784,10297
851784,1813
851784,83002
125025,1535219
125025,122889
125025,21029
125025,123725
125025,7796
125025,851784
125025,76512
125025,6046
122889,57637
122889,69230
2641,1205143
2641,1205144
2641,72028
2641,2222
2641,44038
2641,160663
2641,9805
2641,2282
2641,24589
2641,24590
2641,11770
2641,515
2641,57905
2641,18589
2641,105270
2641,2638
2641,2639
2641,2091
72028,47879
72028,104895
72028,59846
4724,1339982
4724,66743
4724,1461
4724,69342
4724,1524
4724,5141
4724,5139
4724,5140
66743,1461
66743,163630
66743,5374
1461,1223
1461,1224
1461,2676541
1461,2698947
1461,1158
1461,134
1461,190
1461,14701
1461,6449
1461,2161106
1461,2161107
1461,2161104
2098136,2098137
1,7879
1,71538
1,1021364
1,2231
1,37872
1,8328
1,12898
1,31
1,1032
1,1150
1,2297235
1,491
1,3083483
1,3
1,488
1,738
1,132305
1,5026
1,1243
1,510
1,11770
1,515
1,1006721
1,4
1,3799
1,130
1,10930
1,2140901
1,33185
1,9789
1,6449
7879,7090
7879,94037
7879,35219
7879,31
7879,2106
7879,146136
7879,12898
7879,628
7879,608
7879,1186197
7879,110675
7879,2231
7879,7167
5064,488
5064,190
5064,380
5064,4690
5064,3096
5064,11701
5064,1658802
5064,10215
5064,230194
5064,325
5064,1158
5064,134
5064,2231
5064,1
5064,21278
5064,13724
5064,707
5064,11850
5064,9274
488,13848
488,1828524
488,24
488,1058
488,3083483
488,3
488,3037
488,4951
488,9261
488,2227
488,500
488,738
488,2297235
488,491
488,11770
488,4600
488,2090
488,30807
488,670
488,1243
488,510
488,1032
488,1006721
488,2231
488,2154
488,2152
488,325
488,1306064
488,174981
488,7879
488,4430
488,6449
27888,227
2303,5293
2303,1296936
2303,1310844
2303,1414419
2303,6818
2303,10249
2303,2778
2303,5602
2303,1499594
2303,1061561
2303,1018937
5293,86034
5293,32887
5293,1152
5293,569
5293,5469
5293,1291350
5293,3490
5293,39104
5293,1480608
5293,18514
5293,32592
5293,1434355
5293,189747
5293,285917
5293,1731598
5293,118415
5293,20715
5293,5602
5293,6586
5293,880
5293,73968
5293,90633
5293,5141
5293,5139
5293,5140
1032,1130441
1032,108650
1032,1150
1032,1130439
1032,1665042
1032,1867
1032,1006721
1032,224
1032,102429
1032,6159
1032,5168
1032,70035
1032,39012
1032,2636
1032,1077703
1032,132305
1032,5026
1032,3037
1032,4951
1032,72861
1032,941022
1032,237532
1032,40223
1032,11770
1032,1052109
1032,1052107
1032,1146050
1032,11478
1032,2302849
1032,118303
1032,1038
1032,13
1032,1243
1032,510
1032,155890
1032,2210813
1032,2879828
1032,190
1032,14701
1032,6449
1032,9979
1032,9789
1032,4517
1032,14702
1150,11008
1150,67877
1150,1979
1150,16294
1150,1259
1150,19665
1243,510
1243,82388
1243,7904
1243,1242827
1243,586186
1243,11905
1243,38127
1243,6648
1243,2240369
1243,82280
1243,10468
1243,10400
1243,1884
510,85
510,531
510,256928
510,113
510,34947
510,1262612
510,21200
510,70243
510,15973
510,1160
510,1813
510,37153
55983,213896
55983,1353222
55983,7908
55983,1103687
55983,141888
55983,64180
55983,97185
55983,164131
55983,4
55983,3799
55983,130
55983,17483
55983,6238
55983,707
55983,11850
55983,9274
7908,68455
7908,360193
7908,1103687
7908,141888
7908,2
7908,4
7908,6
7908,3
7908,67367
7908,224513
7908,64180
7908,97185
7908,164131
7908,3799
7908,130
7908,33185
134,27319
134,56323
134,78577
134,135651
134,60073
134,325
134,8851
134,979952
134,120724
134,4038
134,27011
134,543105
134,9309
134,57551
134,5726
1006721,4517
1006721,14702
1006721,11477
1006721,1038
1006721,13
3083483,3
3,2
3,4
3,738
3,10930
3,2140901
3,7447
3,9560
3,6
3,2231
3,3084
3,3087
3,8349
3,21278
3,13724
3,10814
3,18897
3,19429
3,130
3,33185
14782,190
14782,147
190,448
190,192
190,3265
190,4078
190,14276
190,74308
190,74309
190,14701
190,6449
190,147
190,3892
190,3095559
190,4385
190,34259
190,11066
190,1150
190,1776
190,19429
190,18897
190,15111
190,4430
190,9979
190,9789
190,20156
190,4347
190,4299
190,2255261
190,4960
190,15753
190,1
190,7879
147,1932312
147,2254973
147,68812
147,1037
147,3129
147,23920
147,6844
147,68559
147,188707
147,139
147,140
147,2535
147,59554
147,1591097
147,17397
147,17398
147,1572034
147,2555
147,2778
147,1499594
147,82702
147,14386
147,7218
147,1954
2378014,2046262
2378014,1381997
2046262,1381997
11784,78021
11784,2231
11784,2047
11784,11770
11784,73040
11784,27993
78021,252527
78021,565671
78021,1198123
78021,106207
78021,52860
78021,1515269
78021,2029964
78021,42545
78021,15832
78021,1404664
78021,1404667
78021,70602
78021,1036843
78021,1288492
78021,44762
78021,93190
78021,106166
78021,1748
78021,1229317
78021,8891
78021,11770
78021,73040
78021,27993
78021,3027
78021,131120
78021,4955
78021,1133295
78021,1536126
78021,1536127
78021,234352
78021,17605
78021,56446
78021,1376433
78021,1376434
78021,1102159
16847,19487
16847,2714
16847,287
16847,19119
16847,27319
16847,2636
16847,1077703
16847,52365
16847,21429
16847,2127
16847,2128
16847,20493
16847,33656
16847,39520
16847,11462
16847,11465
16847,2144
16847,141
16847,2505
2714,52602
2714,2517
2714,59183
2714,111207
2714,21625
2714,14392
2714,2053
2714,22082
2714,3085
2714,60848
2714,1229762
2714,31365
2714,23967
2714,78494
2714,571562
2714,75039
4955,88164
4955,11357
4955,27995
4955,34546
4955,2183911
4955,113
4955,3027
4955,131120
4955,1518723
4955,61824
4955,105685
4955,32055
27995,27993
27995,11770
27995,73040
102429,6159
102429,102334
102429,19707
102429,31302
102429,100659
102429,1184462
102429,2954
102429,4173
102429,11770
102429,31211
102429,4600
102429,7166
102429,12515
102429,13578
102429,9925
102429,44762
102429,1038
102429,349
102429,1006721
102429,1158
102429,380
102429,3087
44762,93190
44762,106166
44762,650
44762,104021
44762,100360
44762,16178
44762,21278
44762,109255
44762,7505
44762,26660
44762,3035391
44762,3035392
44762,82702
44762,926
44762,1905
44762,79084
44762,16028
44762,41955
100360,98226
100360,35579
100360,100359
100360,93190
100360,106166
100360,650
100360,104021
62596,64722
62596,11357
62596,16938
62596,97915
62596,27804
62596,97914
62596,27747
62596,80579
62596,55841
62596,35475
62596,37470
62596,37469
62596,11770
62596,73040
62596,27993
62596,7073
62596,99906
62596,5141
62596,5140
62596,3027
62596,131120
62596,4955
62596,16847
62596,2714
64722,11357
64722,44762
64722,16178
64722,12515
64722,13578
64722,9925
64722,35475
64722,37470
64722,37469
64722,1036843
64722,1351030
64722,5141
64722,5140
11357,2545
11357,1924482
11357,1658964
11357,27995
11357,16855
11357,69899
11357,4600
11357,7166
16178,164807
16178,14464
16178,4610
16178,11173
16178,1319490
16178,5174
16178,926
16178,1905
16178,4955
16178,27995
20903,22082
20903,19506
20903,34982
20903,571562
20903,963818
20903,86314
22082,43458
22082,104646
22082,63681
22082,3085
22082,19506
22082,54500
22082,134610
22082,1547914
19506,1571231
19506,60279
19506,1082094
19506,12077
19506,34982
19506,12900
19506,19507
19506,16418
19506,15831
19506,86314
19506,1178795
19506,27811
19506,42160
19506,56930
11770,11813
11770,15406
11770,14999
11770,73040
11770,27993
11770,2932562
11770,2838131
11770,511
11770,4600
11770,31211
11770,1432094
11770,515
11770,40223
11770,4955
11770,11357
11770,44810
11770,4785
11770,6929
11770,2636
11770,1077703
11770,1518723
11770,61824
11770,113
11770,3027
11770,131120
11770,229715
11770,1250815
11770,6856
11770,65827
11770,11065
515,32396
515,36190
515,44712
515,2056726
